Campo,Valor,Porcentagem do Total de Focos
TI CANA BRAVA/GUAJAJARA (REGULARIZADA) (MARANHÃO),9560,16.97%
TI ARARIBOIA (REGULARIZADA) (MARANHÃO),9305,16.52%
TI BACURIZINHO (DECLARADA) (MARANHÃO),7861,13.95%
TI PORQUINHOS DOS CANELA-APÃNJEKRA (DECLARADA) (MARANHÃO),7213,12.80%
TI BACURIZINHO (REGULARIZADA) (MARANHÃO),4932,8.76%
TI KRIKATI (REGULARIZADA) (MARANHÃO),3558,6.32%
TI KANELA (REGULARIZADA) (MARANHÃO),2551,4.53%
TI PORQUINHOS (REGULARIZADA) (MARANHÃO),2485,4.41%
TI GOVERNADOR (REGULARIZADA) (MARANHÃO),2333,4.14%
TI KANELA MEMORTUMRÉ (DELIMITADA) (MARANHÃO),1809,3.21%
TI LAGOA COMPRIDA (REGULARIZADA) (MARANHÃO),1291,2.29%
TI ALTO TURIAÇU (REGULARIZADA) (MARANHÃO),1250,2.22%
TI URUCU/JURUÁ (REGULARIZADA) (MARANHÃO),894,1.59%
TI AWA (REGULARIZADA) (MARANHÃO),812,1.44%
TI KRENYÊ (ENCAMINHADA RI) (MARANHÃO),195,0.35%
TI RODEADOR (REGULARIZADA) (MARANHÃO),93,0.17%
TI RIO PINDARÉ (REGULARIZADA) (MARANHÃO),74,0.13%
TI GERALDA TOCO PRETO (REGULARIZADA) (MARANHÃO),61,0.11%
TI CARU (REGULARIZADA) (MARANHÃO),56,0.10%
