Campo,Valor,Porcentagem do Total de Focos
TI CANA BRAVA/GUAJAJARA (REGULARIZADA) (MARANHÃO),7913,27.16%
TI PORQUINHOS DOS CANELA-APÃNJEKRA (DECLARADA) (MARANHÃO),5173,17.76%
TI KANELA (REGULARIZADA) (MARANHÃO),3280,11.26%
TI ARARIBOIA (REGULARIZADA) (MARANHÃO),3140,10.78%
TI BACURIZINHO (DECLARADA) (MARANHÃO),2456,8.43%
TI KANELA MEMORTUMRÉ (DELIMITADA) (MARANHÃO),2024,6.95%
TI BACURIZINHO (REGULARIZADA) (MARANHÃO),1257,4.31%
TI PORQUINHOS (REGULARIZADA) (MARANHÃO),983,3.37%
TI KRIKATI (REGULARIZADA) (MARANHÃO),915,3.14%
TI AWA (REGULARIZADA) (MARANHÃO),341,1.17%
TI URUCU/JURUÁ (REGULARIZADA) (MARANHÃO),338,1.16%
TI GOVERNADOR (REGULARIZADA) (MARANHÃO),335,1.15%
TI ALTO TURIAÇU (REGULARIZADA) (MARANHÃO),304,1.04%
TI LAGOA COMPRIDA (REGULARIZADA) (MARANHÃO),219,0.75%
TI RODEADOR (REGULARIZADA) (MARANHÃO),153,0.53%
TI KRENYÊ (ENCAMINHADA RI) (MARANHÃO),102,0.35%
TI GERALDA TOCO PRETO (REGULARIZADA) (MARANHÃO),86,0.30%
TI CARU (REGULARIZADA) (MARANHÃO),60,0.21%
TI RIO PINDARÉ (REGULARIZADA) (MARANHÃO),51,0.18%
TI MORRO BRANCO (REGULARIZADA) (MARANHÃO),1,0.00%
