Campo,Valor,Porcentagem do Total de Focos
TI CANA BRAVA/GUAJAJARA (REGULARIZADA) (MARANHÃO),4895,38.00%
TI PORQUINHOS DOS CANELA-APÃNJEKRA (DECLARADA) (MARANHÃO),2267,17.60%
TI KANELA (REGULARIZADA) (MARANHÃO),1553,12.05%
TI BACURIZINHO (DECLARADA) (MARANHÃO),909,7.06%
TI KANELA MEMORTUMRÉ (DELIMITADA) (MARANHÃO),809,6.28%
TI BACURIZINHO (REGULARIZADA) (MARANHÃO),462,3.59%
TI ARARIBOIA (REGULARIZADA) (MARANHÃO),443,3.44%
TI KRIKATI (REGULARIZADA) (MARANHÃO),421,3.27%
TI AWA (REGULARIZADA) (MARANHÃO),213,1.65%
TI KRENYÊ (ENCAMINHADA RI) (MARANHÃO),193,1.50%
TI PORQUINHOS (REGULARIZADA) (MARANHÃO),178,1.38%
TI ALTO TURIAÇU (REGULARIZADA) (MARANHÃO),107,0.83%
TI GOVERNADOR (REGULARIZADA) (MARANHÃO),96,0.75%
TI RODEADOR (REGULARIZADA) (MARANHÃO),84,0.65%
TI CARU (REGULARIZADA) (MARANHÃO),65,0.50%
TI GERALDA TOCO PRETO (REGULARIZADA) (MARANHÃO),59,0.46%
TI LAGOA COMPRIDA (REGULARIZADA) (MARANHÃO),57,0.44%
TI URUCU/JURUÁ (REGULARIZADA) (MARANHÃO),52,0.40%
TI RIO PINDARÉ (REGULARIZADA) (MARANHÃO),19,0.15%
TI MORRO BRANCO (REGULARIZADA) (MARANHÃO),1,0.01%
