Campo,Valor,Porcentagem do Total de Focos
TI PORQUINHOS DOS CANELA-APÃNJEKRA (DECLARADA) (MARANHÃO),2464,20.77%
TI CANA BRAVA/GUAJAJARA (REGULARIZADA) (MARANHÃO),1881,15.85%
TI KANELA (REGULARIZADA) (MARANHÃO),1436,12.10%
TI BACURIZINHO (DECLARADA) (MARANHÃO),1158,9.76%
TI KANELA MEMORTUMRÉ (DELIMITADA) (MARANHÃO),1131,9.53%
TI ARARIBOIA (REGULARIZADA) (MARANHÃO),916,7.72%
TI BACURIZINHO (REGULARIZADA) (MARANHÃO),612,5.16%
TI AWA (REGULARIZADA) (MARANHÃO),594,5.01%
TI PORQUINHOS (REGULARIZADA) (MARANHÃO),382,3.22%
TI KRIKATI (REGULARIZADA) (MARANHÃO),340,2.87%
TI ALTO TURIAÇU (REGULARIZADA) (MARANHÃO),332,2.80%
TI CARU (REGULARIZADA) (MARANHÃO),162,1.37%
TI GOVERNADOR (REGULARIZADA) (MARANHÃO),105,0.88%
TI KRENYÊ (ENCAMINHADA RI) (MARANHÃO),100,0.84%
TI RODEADOR (REGULARIZADA) (MARANHÃO),80,0.67%
TI URUCU/JURUÁ (REGULARIZADA) (MARANHÃO),66,0.56%
TI LAGOA COMPRIDA (REGULARIZADA) (MARANHÃO),57,0.48%
TI RIO PINDARÉ (REGULARIZADA) (MARANHÃO),26,0.22%
TI GERALDA TOCO PRETO (REGULARIZADA) (MARANHÃO),23,0.19%
