Campo,Valor,Porcentagem do Total de Focos
TI ARARIBOIA (REGULARIZADA) (MARANHÃO),11285,22.28%
TI BACURIZINHO (DECLARADA) (MARANHÃO),7076,13.97%
TI CANA BRAVA/GUAJAJARA (REGULARIZADA) (MARANHÃO),6278,12.40%
TI PORQUINHOS DOS CANELA-APÃNJEKRA (DECLARADA) (MARANHÃO),5855,11.56%
TI BACURIZINHO (REGULARIZADA) (MARANHÃO),4842,9.56%
TI KRIKATI (REGULARIZADA) (MARANHÃO),2896,5.72%
TI KANELA (REGULARIZADA) (MARANHÃO),2191,4.33%
TI AWA (REGULARIZADA) (MARANHÃO),2045,4.04%
TI GOVERNADOR (REGULARIZADA) (MARANHÃO),1779,3.51%
TI KANELA MEMORTUMRÉ (DELIMITADA) (MARANHÃO),1773,3.50%
TI PORQUINHOS (REGULARIZADA) (MARANHÃO),1670,3.30%
TI ALTO TURIAÇU (REGULARIZADA) (MARANHÃO),1139,2.25%
TI LAGOA COMPRIDA (REGULARIZADA) (MARANHÃO),469,0.93%
TI URUCU/JURUÁ (REGULARIZADA) (MARANHÃO),373,0.74%
TI CARU (REGULARIZADA) (MARANHÃO),349,0.69%
TI GERALDA TOCO PRETO (REGULARIZADA) (MARANHÃO),278,0.55%
TI KRENYÊ (ENCAMINHADA RI) (MARANHÃO),141,0.28%
TI RIO PINDARÉ (REGULARIZADA) (MARANHÃO),107,0.21%
TI RODEADOR (REGULARIZADA) (MARANHÃO),97,0.19%
TI MORRO BRANCO (REGULARIZADA) (MARANHÃO),2,0.00%
