Campo,Valor,Porcentagem do Total de Focos
TI ARARIBOIA (REGULARIZADA) (MARANHÃO),6824,24.62%
TI CANA BRAVA/GUAJAJARA (REGULARIZADA) (MARANHÃO),5954,21.48%
TI BACURIZINHO (DECLARADA) (MARANHÃO),3476,12.54%
TI BACURIZINHO (REGULARIZADA) (MARANHÃO),2549,9.20%
TI PORQUINHOS DOS CANELA-APÃNJEKRA (DECLARADA) (MARANHÃO),2388,8.62%
TI KANELA (REGULARIZADA) (MARANHÃO),1504,5.43%
TI KRIKATI (REGULARIZADA) (MARANHÃO),1293,4.67%
TI KANELA MEMORTUMRÉ (DELIMITADA) (MARANHÃO),838,3.02%
TI PORQUINHOS (REGULARIZADA) (MARANHÃO),746,2.69%
TI GOVERNADOR (REGULARIZADA) (MARANHÃO),650,2.35%
TI URUCU/JURUÁ (REGULARIZADA) (MARANHÃO),353,1.27%
TI AWA (REGULARIZADA) (MARANHÃO),243,0.88%
TI ALTO TURIAÇU (REGULARIZADA) (MARANHÃO),239,0.86%
TI LAGOA COMPRIDA (REGULARIZADA) (MARANHÃO),199,0.72%
TI CARU (REGULARIZADA) (MARANHÃO),134,0.48%
TI KRENYÊ (ENCAMINHADA RI) (MARANHÃO),95,0.34%
TI GERALDA TOCO PRETO (REGULARIZADA) (MARANHÃO),87,0.31%
TI RODEADOR (REGULARIZADA) (MARANHÃO),73,0.26%
TI RIO PINDARÉ (REGULARIZADA) (MARANHÃO),70,0.25%
