Campo,Valor,Porcentagem do Total de Focos
TI ARARIBOIA (REGULARIZADA) (MARANHÃO),22159,37.56%
TI CANA BRAVA/GUAJAJARA (REGULARIZADA) (MARANHÃO),6300,10.68%
TI PORQUINHOS DOS CANELA-APÃNJEKRA (DECLARADA) (MARANHÃO),4829,8.18%
TI BACURIZINHO (DECLARADA) (MARANHÃO),3631,6.15%
TI ALTO TURIAÇU (REGULARIZADA) (MARANHÃO),3584,6.07%
TI AWA (REGULARIZADA) (MARANHÃO),3031,5.14%
TI KRIKATI (REGULARIZADA) (MARANHÃO),2958,5.01%
TI BACURIZINHO (REGULARIZADA) (MARANHÃO),2450,4.15%
TI KANELA (REGULARIZADA) (MARANHÃO),2122,3.60%
TI CARU (REGULARIZADA) (MARANHÃO),1521,2.58%
TI GOVERNADOR (REGULARIZADA) (MARANHÃO),1484,2.52%
TI PORQUINHOS (REGULARIZADA) (MARANHÃO),1418,2.40%
TI KANELA MEMORTUMRÉ (DELIMITADA) (MARANHÃO),1402,2.38%
TI LAGOA COMPRIDA (REGULARIZADA) (MARANHÃO),806,1.37%
TI KRENYÊ (ENCAMINHADA RI) (MARANHÃO),426,0.72%
TI URUCU/JURUÁ (REGULARIZADA) (MARANHÃO),351,0.59%
TI GERALDA TOCO PRETO (REGULARIZADA) (MARANHÃO),347,0.59%
TI RODEADOR (REGULARIZADA) (MARANHÃO),101,0.17%
TI RIO PINDARÉ (REGULARIZADA) (MARANHÃO),82,0.14%
