Campo,Valor,Porcentagem do Total de Focos
TI PORQUINHOS DOS CANELA-APÃNJEKRA (DECLARADA) (MARANHÃO),4112,17.86%
TI KRIKATI (REGULARIZADA) (MARANHÃO),3640,15.81%
TI KANELA (REGULARIZADA) (MARANHÃO),2926,12.71%
TI ARARIBOIA (REGULARIZADA) (MARANHÃO),1984,8.62%
TI KANELA MEMORTUMRÉ (DELIMITADA) (MARANHÃO),1984,8.62%
TI CANA BRAVA/GUAJAJARA (REGULARIZADA) (MARANHÃO),1896,8.24%
TI ALTO TURIAÇU (REGULARIZADA) (MARANHÃO),1525,6.62%
TI GOVERNADOR (REGULARIZADA) (MARANHÃO),964,4.19%
TI AWA (REGULARIZADA) (MARANHÃO),949,4.12%
TI BACURIZINHO (DECLARADA) (MARANHÃO),946,4.11%
TI PORQUINHOS (REGULARIZADA) (MARANHÃO),619,2.69%
TI BACURIZINHO (REGULARIZADA) (MARANHÃO),475,2.06%
TI KRENYÊ (ENCAMINHADA RI) (MARANHÃO),445,1.93%
TI LAGOA COMPRIDA (REGULARIZADA) (MARANHÃO),176,0.76%
TI URUCU/JURUÁ (REGULARIZADA) (MARANHÃO),156,0.68%
TI CARU (REGULARIZADA) (MARANHÃO),103,0.45%
TI RODEADOR (REGULARIZADA) (MARANHÃO),88,0.38%
TI RIO PINDARÉ (REGULARIZADA) (MARANHÃO),24,0.10%
TI GERALDA TOCO PRETO (REGULARIZADA) (MARANHÃO),9,0.04%
TI MORRO BRANCO (REGULARIZADA) (MARANHÃO),1,0.00%
