Campo,Valor,Porcentagem do Total de Focos
TI PORQUINHOS DOS CANELA-APÃNJEKRA (DECLARADA) (MARANHÃO),669,28.60%
TI KANELA (REGULARIZADA) (MARANHÃO),316,13.51%
TI AWA (REGULARIZADA) (MARANHÃO),221,9.45%
TI KANELA MEMORTUMRÉ (DELIMITADA) (MARANHÃO),200,8.55%
TI BACURIZINHO (DECLARADA) (MARANHÃO),160,6.84%
TI ALTO TURIAÇU (REGULARIZADA) (MARANHÃO),139,5.94%
TI ARARIBOIA (REGULARIZADA) (MARANHÃO),119,5.09%
TI CANA BRAVA/GUAJAJARA (REGULARIZADA) (MARANHÃO),104,4.45%
TI KRIKATI (REGULARIZADA) (MARANHÃO),103,4.40%
TI PORQUINHOS (REGULARIZADA) (MARANHÃO),97,4.15%
TI BACURIZINHO (REGULARIZADA) (MARANHÃO),57,2.44%
TI CARU (REGULARIZADA) (MARANHÃO),49,2.09%
TI GOVERNADOR (REGULARIZADA) (MARANHÃO),49,2.09%
TI RIO PINDARÉ (REGULARIZADA) (MARANHÃO),18,0.77%
TI KRENYÊ (ENCAMINHADA RI) (MARANHÃO),13,0.56%
TI URUCU/JURUÁ (REGULARIZADA) (MARANHÃO),8,0.34%
TI RODEADOR (REGULARIZADA) (MARANHÃO),7,0.30%
TI LAGOA COMPRIDA (REGULARIZADA) (MARANHÃO),6,0.26%
TI GERALDA TOCO PRETO (REGULARIZADA) (MARANHÃO),4,0.17%
